required_flow_Q,damage_intensity,horizon_T,seeds,full_grid,runs,groups_evaluated,collapse_fraction,no_collapse_fraction,far_above_q_fraction,collapse_at_first_step_fraction,post_policy_below_q_fraction,unflagged_fraction,review_group_count,keep_group_count,candidate_score
4,0.34,8,1,True,264,24,0.6515151515151515,0.3484848484848485,0.08333333333333333,0.003787878787878788,0.0,0.6363636363636364,6,18,0.422348484848485
4,0.32,8,1,True,264,24,0.6553030303030303,0.3446969696969697,0.08333333333333333,0.003787878787878788,0.0,0.6401515151515151,6,18,0.42102272727272727
4,0.26,8,1,True,264,24,0.5303030303030303,0.4696969696969697,0.08712121212121213,0.003787878787878788,0.0,0.5151515151515151,9,15,0.41268939393939374
4,0.28,9,1,True,264,24,0.6363636363636364,0.36363636363636365,0.08333333333333333,0.003787878787878788,0.0,0.6212121212121212,7,17,0.4109848484848486
4,0.28,8,1,True,264,24,0.5871212121212122,0.4128787878787879,0.08712121212121213,0.003787878787878788,0.0,0.571969696969697,8,16,0.40946969696969693
4,0.32,9,1,True,264,24,0.6893939393939394,0.3106060606060606,0.08333333333333333,0.003787878787878788,0.0,0.6742424242424242,6,18,0.40909090909090906
4,0.34,9,1,True,264,24,0.6931818181818182,0.3068181818181818,0.08333333333333333,0.003787878787878788,0.0,0.678030303030303,6,18,0.4077651515151516
4,0.26,10,1,True,264,24,0.6477272727272727,0.3522727272727273,0.08333333333333333,0.003787878787878788,0.0,0.6325757575757576,7,17,0.40700757575757573
4,0.3,12,1,True,264,24,0.7537878787878788,0.24621212121212122,0.08333333333333333,0.003787878787878788,0.0,0.7386363636363636,5,19,0.40321969696969706
4,0.26,12,1,True,264,24,0.7121212121212122,0.2878787878787879,0.08333333333333333,0.003787878787878788,0.0,0.696969696969697,6,18,0.4011363636363635
4,0.32,10,1,True,264,24,0.7121212121212122,0.2878787878787879,0.08333333333333333,0.003787878787878788,0.0,0.696969696969697,6,18,0.4011363636363635
4,0.26,9,1,True,264,24,0.6174242424242424,0.38257575757575757,0.08333333333333333,0.003787878787878788,0.0,0.6022727272727273,8,16,0.40094696969696964
4,0.28,10,1,True,264,24,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.003787878787878788,0.0,0.6515151515151515,7,17,0.4003787878787879
4,0.3,8,1,True,264,24,0.6439393939393939,0.3560606060606061,0.09848484848484848,0.003787878787878788,0.0,0.6287878787878788,7,17,0.4
4,0.34,10,1,True,264,24,0.7159090909090909,0.2840909090909091,0.08333333333333333,0.003787878787878788,0.0,0.7007575757575758,6,18,0.39981060606060603
4,0.32,12,1,True,264,24,0.7689393939393939,0.23106060606060605,0.08333333333333333,0.003787878787878788,0.0,0.7537878787878788,5,19,0.3979166666666668
4,0.3,9,1,True,264,24,0.6742424242424242,0.32575757575757575,0.08333333333333333,0.003787878787878788,0.0,0.6590909090909091,7,17,0.39772727272727293
4,0.34,12,1,True,264,24,0.7727272727272727,0.22727272727272727,0.08333333333333333,0.003787878787878788,0.0,0.7575757575757576,5,19,0.3965909090909091
4,0.28,12,1,True,264,24,0.7310606060606061,0.2689393939393939,0.08333333333333333,0.003787878787878788,0.0,0.7159090909090909,6,18,0.3945075757575758
4,0.3,10,1,True,264,24,0.6931818181818182,0.3068181818181818,0.08333333333333333,0.003787878787878788,0.0,0.678030303030303,7,17,0.39109848484848486
