row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_006_q01,code_n24_k12_cw3_006,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,6.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,16,12926,exact,4,0.0576,0.013823999999999998,0.0033177599999999995,0.0,0.0,0.05308415999999999,0.05308415999999999,0.051723153984674294
code_n24_k12_cw3_006_q02,code_n24_k12_cw3_006,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,6.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,16,12926,exact,4,0.09,0.026999999999999996,0.0081,0.0,0.0,0.1296,0.1296,0.12186358775684057
code_n24_k12_cw3_006_q03,code_n24_k12_cw3_006,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,6.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,0,0,16,12926,exact,4,0.1296,0.046655999999999996,0.016796159999999997,0.0,0.0,0.26873855999999996,0.26873855999999996,0.23802314701854077
code_n24_k12_cw3_007_q00,code_n24_k12_cw3_007,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,4.833333333333333,2.0,10.0,3.0,0.0,3.0,3.0,4,88,921,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.1296,0.513216,0.9668289599999998,1.6096449599999998,0.9592141814302527
code_n24_k12_cw3_007_q01,code_n24_k12_cw3_007,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,4.833333333333333,2.0,10.0,3.0,0.0,3.0,3.0,4,88,921,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.2304,1.2165119999999998,3.0556569599999994,4.50256896,1.7052150668251826
code_n24_k12_cw3_007_q02,code_n24_k12_cw3_007,q02,test,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,4.833333333333333,2.0,10.0,3.0,0.0,3.0,3.0,4,88,921,12926,exact,2,0.09,0.026999999999999996,0.0081,0.36,2.3759999999999994,7.4601,10.1961,2.4155655033746624
code_n24_k12_cw3_007_q03,code_n24_k12_cw3_007,q03,test,0.36,24,12,12,0.5,0.14,3,0.25,6.0,4.833333333333333,2.0,10.0,3.0,0.0,3.0,3.0,4,88,921,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.5184,4.105728,15.469263359999998,20.09339136,3.0489597857356716
code_n24_k12_cw3_008_q00,code_n24_k12_cw3_008,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,6.5,2.0,10.0,3.0,0.0,3.0,3.0,3,66,701,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0972,0.384912,0.7358817599999999,1.21799376,0.7966030755788616
code_n24_k12_cw3_008_q01,code_n24_k12_cw3_008,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,6.5,2.0,10.0,3.0,0.0,3.0,3.0,3,66,701,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.1728,0.9123839999999999,2.3257497599999994,3.4109337599999994,1.4840864040070991
code_n24_k12_cw3_008_q02,code_n24_k12_cw3_008,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,6.5,2.0,10.0,3.0,0.0,3.0,3.0,3,66,701,12926,exact,2,0.09,0.026999999999999996,0.0081,0.27,1.7819999999999998,5.6781,7.730099999999999,2.166776824539628
