model,feature_count,selected_C,validation_code_grouped_log_loss,test_code_grouped_log_loss
B0,6,10.0,0.4408713133092288,0.4397662462354643
B1,16,10.0,0.4408924400544005,0.43822689815179555
B1_hazard,19,10.0,0.43845947606863045,0.4363397035431776
B1_SP_scalar,17,10.0,0.4340834192582552,0.4289932917900723
B1_SP_terms,19,10.0,0.4331458238350118,0.42892328390826256
B1_SP_bundle,20,10.0,0.4327286122426341,0.4278541421079413
B1_hazard_SP_scalar,20,10.0,0.4325561163779151,0.4280894618984881
