code_id,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order
code_n24_k12_cw3_112,2,44,468,12926,exact,2
code_n24_k12_cw3_113,1,22,241,12926,exact,2
code_n24_k12_cw3_114,0,0,9,12926,exact,4
code_n24_k12_cw3_115,0,0,8,12926,exact,4
code_n24_k12_cw3_116,0,0,12,12926,exact,4
code_n24_k12_cw3_117,0,0,9,12926,exact,4
code_n24_k12_cw3_118,4,88,927,12926,exact,2
code_n24_k12_cw3_119,2,44,465,12926,exact,2
code_n32_k16_cw3_000,0,0,5,41416,exact,4
code_n32_k16_cw3_001,0,0,7,41416,exact,4
code_n32_k16_cw3_002,1,30,439,41416,exact,2
code_n32_k16_cw3_003,1,30,443,41416,exact,2
code_n32_k16_cw3_004,1,30,440,41416,exact,2
code_n32_k16_cw3_005,0,0,5,41416,exact,4
code_n32_k16_cw3_006,5,150,2167,41416,exact,2
code_n32_k16_cw3_007,1,30,439,41416,exact,2
code_n32_k16_cw3_008,0,0,7,41416,exact,4
code_n32_k16_cw3_009,1,30,441,41416,exact,2
code_n32_k16_cw3_010,1,30,445,41416,exact,2
code_n32_k16_cw3_011,3,90,1306,41416,exact,2
code_n32_k16_cw3_012,2,60,873,41416,exact,2
code_n32_k16_cw3_013,0,0,8,41416,exact,4
code_n32_k16_cw3_014,0,0,4,41416,exact,4
code_n32_k16_cw3_015,3,90,1311,41416,exact,2
code_n32_k16_cw3_016,0,0,3,41416,exact,4
code_n32_k16_cw3_017,0,0,5,41416,exact,4
code_n32_k16_cw3_018,0,0,2,41416,exact,4
code_n32_k16_cw3_019,2,60,872,41416,exact,2
code_n32_k16_cw3_020,0,0,4,41416,exact,4
code_n32_k16_cw3_021,1,30,438,41416,exact,2
code_n32_k16_cw3_022,0,0,5,41416,exact,4
code_n32_k16_cw3_023,3,90,1310,41416,exact,2
code_n32_k16_cw3_024,0,0,10,41416,exact,4
code_n32_k16_cw3_025,1,30,435,41416,exact,2
code_n32_k16_cw3_026,2,60,878,41416,exact,2
code_n32_k16_cw3_027,0,0,4,41416,exact,4
code_n32_k16_cw3_028,1,30,438,41416,exact,2
code_n32_k16_cw3_029,1,30,444,41416,exact,2
code_n32_k16_cw3_030,0,0,7,41416,exact,4
code_n32_k16_cw3_031,1,30,440,41416,exact,2
code_n32_k16_cw3_032,1,30,441,41416,exact,2
code_n32_k16_cw3_033,0,0,11,41416,exact,4
code_n32_k16_cw3_034,0,0,2,41416,exact,4
code_n32_k16_cw3_035,1,30,438,41416,exact,2
code_n32_k16_cw3_036,0,0,4,41416,exact,4
code_n32_k16_cw3_037,2,60,873,41416,exact,2
code_n32_k16_cw3_038,0,0,6,41416,exact,4
code_n32_k16_cw3_039,0,0,6,41416,exact,4
code_n32_k16_cw3_040,0,0,2,41416,exact,4
code_n32_k16_cw3_041,1,30,441,41416,exact,2
code_n32_k16_cw3_042,0,0,4,41416,exact,4
code_n32_k16_cw3_043,0,0,6,41416,exact,4
code_n32_k16_cw3_044,1,30,441,41416,exact,2
code_n32_k16_cw3_045,0,0,3,41416,exact,4
code_n32_k16_cw3_046,2,60,873,41416,exact,2
code_n32_k16_cw3_047,0,0,5,41416,exact,4
code_n32_k16_cw3_048,1,30,443,41416,exact,2
code_n32_k16_cw3_049,0,0,5,41416,exact,4
