comparison,baseline,model,baseline_test_log_loss,model_test_log_loss,relative_log_loss_improvement,bootstrap_positive_rate
primary,B1_degree,B1_degree_SP_stop_orderwise_norm_terms,0.5097949732191456,0.5041867679825616,0.011000903365465725,0.999
hazard_guardrail,B1_degree_hazard,B1_degree_hazard_SP_stop_orderwise_norm_terms,0.505468640559161,0.5006903928832611,0.00945310409487331,1.0
rankdep_guardrail,B1_degree_rankdep,B1_degree_rankdep_SP_stop_orderwise_norm_terms,0.5033376799757282,0.5020020300390309,0.0026535862301461963,0.804
