code_id,n,k,r,column_weight,stopping_order,subset_tests,N_stop_total,elapsed_s
code_n24_k12_cw3_000,24,12,12,3,5,55430,152,0.17352829199808184
code_n24_k12_cw3_001,24,12,12,3,5,55430,121,0.1689284169988241
code_n24_k12_cw3_002,24,12,12,3,5,55430,120,0.16963520799617982
code_n32_k16_cw3_000,32,16,16,3,5,242792,37,0.7214642919934704
code_n32_k16_cw3_001,32,16,16,3,5,242792,61,0.7272836250049295
code_n32_k16_cw3_002,32,16,16,3,5,242792,41,0.7105602500014356
