code_id,n,k,r,column_weight,stopping_order,subset_tests,N_stop_total,elapsed_s
code_n24_k12_cw3_000,24,12,12,3,5,55430,65,0.16248949999862816
code_n24_k12_cw3_001,24,12,12,3,5,55430,111,0.17132950000086566
code_n24_k12_cw3_002,24,12,12,3,5,55430,133,0.1722163329977775
code_n32_k16_cw3_000,32,16,16,3,5,242792,36,0.7532422500007669
code_n32_k16_cw3_001,32,16,16,3,5,242792,26,0.7222856669977773
code_n32_k16_cw3_002,32,16,16,3,5,242792,48,0.7727522080022027
