row_id,code_id,q_id,split,sample_index,sample_seed,erased_indices,erased_count,peeling_residual,residual_size,stopping_failure,erased_rank,ambiguity_dim,rank_failure
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,38,461554027,"[9, 12]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,39,462554030,"[0, 1, 3, 7, 12, 21]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,40,463554033,"[4, 7, 10, 22, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,41,464554036,"[1, 8, 11, 16, 18, 21]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,42,465554039,"[5, 7, 12, 18]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,43,466554042,"[0, 1, 11, 13, 16]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,44,467554045,"[1, 7, 9, 20, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,45,468554048,"[3, 6, 11, 13, 18]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,46,469554051,"[6, 9, 12]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,47,470554054,"[6, 7, 12]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,48,471554057,"[1, 11, 14]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,49,472554060,"[0, 8, 10, 23]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,50,473554063,"[2, 6, 7, 8]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,51,474554066,"[1, 2, 6, 7, 10, 14, 19]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,52,475554069,"[2, 19, 20]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,53,476554072,"[0, 11, 12, 14]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,54,477554075,"[6, 10, 14, 16, 18]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,55,478554078,"[0, 6, 9]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,56,479554081,"[14, 15]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,57,480554084,"[1, 8, 9, 10, 12, 14, 17, 20, 23]",9,[],0,0,9,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,58,481554087,"[0, 6, 12, 19]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,59,482554090,"[6, 19]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,60,483554093,"[2, 14, 15]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,61,484554096,[1],1,[],0,0,1,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,62,485554099,"[13, 14, 19, 21, 22]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q00,code_n24_k12_cw3_000,q00,train,63,486554102,"[8, 13, 14, 16, 20]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,0,3997141250,"[5, 17, 21, 23]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,1,3998141253,"[0, 3, 8, 9, 14, 16]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,2,3999141256,"[0, 3, 15, 16, 23]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,3,4000141259,"[1, 6, 14, 21, 22, 23]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,4,4001141262,"[1, 6, 11, 13, 18, 23]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,5,4002141265,"[1, 8, 11]",3,[],0,0,3,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,6,4003141268,"[1, 9, 13, 15, 16]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,7,4004141271,"[0, 7, 10, 13, 20]",5,[],0,0,5,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,8,4005141274,"[0, 2, 6, 8, 9, 17, 23]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,9,4006141277,"[0, 2, 8, 9, 11, 15, 21]",7,"[0, 2, 9, 11, 21]",5,1,7,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,10,4007141280,"[7, 10]",2,[],0,0,2,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,11,4008141283,"[2, 6, 10, 15, 16, 20, 23]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,12,4009141286,"[5, 8, 9, 13, 16, 18, 21, 22]",8,[],0,0,8,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,13,4010141289,"[0, 3, 4, 8, 14, 23]",6,[],0,0,6,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,14,4011141292,"[1, 3, 9, 12, 15, 16, 19, 20, 21, 22]",10,[],0,0,10,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,15,4012141295,"[0, 8, 16, 17, 18, 20, 21]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,16,4013141298,"[13, 14, 19, 20]",4,[],0,0,4,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,17,4014141301,"[0, 1, 2, 6, 7, 8, 12, 13, 18]",9,[],0,0,9,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,18,4015141304,"[4, 8, 12, 13, 14, 19, 23]",7,[],0,0,7,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,19,4016141307,"[2, 5, 6, 8, 9, 14, 15, 22]",8,[],0,0,8,0,0
code_n24_k12_cw3_000_q01,code_n24_k12_cw3_000,q01,train,20,4017141310,"[4, 13, 15, 16, 21]",5,[],0,0,5,0,0
