model,feature_count,selected_C,validation_code_grouped_log_loss,test_code_grouped_log_loss
B0,6,10.0,0.5179681179435556,0.5130890837398978
B1,26,10.0,0.5144363379372405,0.5169736974803354
B1_hazard,30,10.0,0.5114775782212289,0.511921019114973
B1_SP_stop_scalar,27,10.0,0.512966798387122,0.5142016072581437
B1_SP_stop_terms,30,10.0,0.5147471641193071,0.5090004599246412
B1_hazard_SP_stop_scalar,31,10.0,0.5110330392152289,0.5110480884834997
B1_rankdep,27,10.0,0.5203342931273109,0.5099570959558548
B1_rankdep_SP_stop_scalar,28,10.0,0.5170912880348583,0.5090434778536762
