graph_id,state_id,split,n,e0,et,kappa0,kappat,tau_stratum,prefix_len,prefix_seed,tau0,tau,log_tau0,log_tau,L_t,deleted_edge_count,deleted_edge_fraction,edge_density,mean_degree,degree_variance,min_degree,bridge_count,avg_shortest_path_length,diameter,algebraic_connectivity,laplacian_spectral_radius,adjacency_spectral_gap,kirchhoff_index,betweenness_mean,betweenness_max,betweenness_std
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,24,48,48,2,2,low,0,3651173447,12927665736,12927665736,23.28263548257405,23.28263548257405,0.0,0,0.0,0.17391304347826086,4.0,3.1666666666666665,2,0,2.8333333333333335,6,0.18581665017548465,10.24558453003566,0.3196568080526516,312.38590965560843,0.08333333333333333,0.48734439404295865,0.11985585257250324
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,24,48,45,2,1,low,3,4151174947,12927665736,1389505088,23.28263548257405,21.052213468888958,2.230422013685093,3,0.0625,0.16304347826086957,3.75,3.4375,1,1,2.902173913043478,6,0.17804051468227008,10.24451361977939,0.4197992525808676,346.2238270782061,0.08646245059288538,0.5291859874863827,0.12845874780946584
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p5,train,24,48,43,2,2,low,5,356209151,12927665736,585434100,23.28263548257405,20.187864181294255,3.0947713012797955,5,0.10416666666666667,0.15579710144927536,3.5833333333333335,2.826388888888889,2,0,3.0652173913043477,6,0.1499095313833345,9.466333168984272,0.20806974570573722,372.51706362851047,0.09387351778656126,0.47700922266139656,0.1252774633246903
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,24,48,48,2,2,low,0,2929793488,16027837407,16027837407,23.4975928853589,23.4975928853589,0.0,0,0.0,0.17391304347826086,4.0,2.8333333333333335,2,0,2.670289855072464,5,0.22022770592498978,9.489955609386378,0.504783738802657,293.659866167933,0.07592226613965743,0.4416337285902503,0.11628521626021696
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,24,48,45,2,2,low,3,3429794988,16027837407,4451726668,23.4975928853589,22.216557873146996,1.2810350122119019,3,0.0625,0.16304347826086957,3.75,1.7708333333333333,2,0,2.760869565217391,5,0.21715817864863454,8.492238163463586,0.37095695566694165,307.45011554851556,0.0800395256916996,0.3830698287220026,0.10707528922269735
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,24,48,43,2,1,low,5,3929796488,16027837407,260414560,23.4975928853589,19.377785380714055,4.119807504644843,5,0.10416666666666667,0.15579710144927536,3.5833333333333335,3.159722222222222,1,2,2.8115942028985508,5,0.2136076568449991,9.206401209572736,0.7091672644067057,366.0120964088939,0.0823451910408432,0.4389328063241106,0.11945533247674694
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p0,validation,24,48,48,2,2,low,0,2208413529,18420474639,18420474639,23.63672863503117,23.63672863503117,0.0,0,0.0,0.17391304347826086,4.0,2.25,2,0,2.971014492753623,6,0.15081182290141187,9.022761636655733,0.1442933734628058,332.92756546868577,0.0895915678524374,0.38649170329012206,0.11810319581296337
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p3,validation,24,48,45,2,2,low,3,2708415029,18420474639,4519579162,23.63672863503117,22.23168472070373,1.4050439143274396,3,0.0625,0.16304347826086957,3.75,1.7708333333333333,2,0,3.0543478260869565,6,0.14428866132797022,8.510375105215836,0.27783989540966303,350.17109450444065,0.09337944664031621,0.33850563139100687,0.11469137446467839
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p0,train,24,48,48,2,2,low,0,1487033570,20784129888,20784129888,23.75745554627776,23.75745554627776,0.0,0,0.0,0.17391304347826086,4.0,2.0833333333333335,2,0,2.75,5,0.22414301079781995,8.848914676201703,0.35845557717439913,293.29350181897723,0.07954545454545453,0.26451471234079926,0.0887977439128216
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p3,train,24,48,45,2,1,low,3,1987035070,20784129888,2225655296,23.75745554627776,21.52331722425975,2.234138322018012,3,0.0625,0.16304347826086957,3.75,2.1041666666666665,1,2,2.818840579710145,6,0.2197401267264091,8.759120206125317,0.42212209376198606,344.28699776337726,0.08267457180500658,0.31679841897233196,0.09446683575086436
