model,feature_count,selected_C,validation_graph_grouped_log_loss,test_graph_grouped_log_loss
B0,7,10.0,0.39556162329075234,0.3818600524579547
B1,12,10.0,0.3835175689162109,0.3608669524377211
B1_logtau,13,10.0,0.3832414033258542,0.36069906075559466
B1_L,13,10.0,0.38351107379954463,0.3608731492179536
B1_SP_bundle,14,10.0,0.38323499753585105,0.36070647716104465
B2_guardrail,19,10.0,0.3826933180972252,0.36057961278459727
