code_id,n,k,r,column_weight,stopping_order,subset_tests,N_stop_total,elapsed_s
code_n24_k12_cw3_000,24,12,12,3,5,55430,149,0.170512458003941
code_n24_k12_cw3_001,24,12,12,3,5,55430,117,0.1728849999999511
code_n24_k12_cw3_002,24,12,12,3,5,55430,97,0.17009308299748227
code_n32_k16_cw3_000,32,16,16,3,5,242792,56,0.7350969580002129
code_n32_k16_cw3_001,32,16,16,3,5,242792,64,0.7449251670041122
code_n32_k16_cw3_002,32,16,16,3,5,242792,38,0.7352747920012916
