model,feature_count,selected_C,validation_graph_grouped_log_loss,test_graph_grouped_log_loss
B0,5,10.0,0.4383644594049243,0.44025202954443915
B1,11,10.0,0.4343852476094988,0.4423180021090647
B1_hazard,14,10.0,0.42422017580865007,0.43094334078508734
B1_SP_scalar,12,10.0,0.42844439441437776,0.4330664624793408
B1_SP_terms,14,10.0,0.4282416801777579,0.4327559068324731
B1_SP_bundle,15,10.0,0.4279639436181225,0.43187337842384504
B1_hazard_SP_scalar,15,10.0,0.4242050674030058,0.4295577115905518
B2_guardrail,17,10.0,0.4353576341660843,0.44210928978869096
