row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n32_k20_cw3_034_q00,code_n32_k20_cw3_034,q00,test,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,3.5,5.0,12.0,3.0,0.0,3.0,3.0,3,90,1324,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.07680000000000001,0.3686400000000001,0.86769664,1.3131366400000002,0.8386044562990942
code_n32_k20_cw3_034_q01,code_n32_k20_cw3_034,q01,test,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,3.5,5.0,12.0,3.0,0.0,3.0,3.0,3,90,1324,41416,exact,2,0.0484,0.010648,0.00234256,0.1452,0.95832,3.10154944,4.20506944,1.6496330429961932
code_n32_k20_cw3_034_q02,code_n32_k20_cw3_034,q02,test,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,3.5,5.0,12.0,3.0,0.0,3.0,3.0,3,90,1324,41416,exact,2,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.23520000000000002,1.9756800000000005,8.138045440000003,10.348925440000002,2.429123064555594
code_n32_k20_cw3_034_q03,code_n32_k20_cw3_034,q03,test,0.34,32,20,12,0.625,0.03499999999999992,3,0.25,8.0,3.5,5.0,12.0,3.0,0.0,3.0,3.0,3,90,1324,41416,exact,2,0.11560000000000002,0.039304000000000006,0.013363360000000005,0.34680000000000005,3.5373600000000005,17.693088640000006,21.577248640000008,3.1169427018730027
code_n32_k20_cw3_035_q00,code_n32_k20_cw3_035,q00,train,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,4.166666666666667,6.0,12.0,3.0,0.0,3.0,3.0,1,30,461,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.0256,0.12288000000000002,0.30212096,0.45060096000000005,0.3719779257420753
code_n32_k20_cw3_035_q01,code_n32_k20_cw3_035,q01,train,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,4.166666666666667,6.0,12.0,3.0,0.0,3.0,3.0,1,30,461,41416,exact,2,0.0484,0.010648,0.00234256,0.0484,0.31944,1.0799201600000001,1.44776016,0.8951733859941188
code_n32_k20_cw3_035_q02,code_n32_k20_cw3_035,q02,train,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,4.166666666666667,6.0,12.0,3.0,0.0,3.0,3.0,1,30,461,41416,exact,2,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.07840000000000001,0.6585600000000001,2.833564160000001,3.5705241600000015,1.5196278941714991
code_n32_k20_cw3_035_q03,code_n32_k20_cw3_035,q03,train,0.34,32,20,12,0.625,0.03499999999999992,3,0.25,8.0,4.166666666666667,6.0,12.0,3.0,0.0,3.0,3.0,1,30,461,41416,exact,2,0.11560000000000002,0.039304000000000006,0.013363360000000005,0.11560000000000002,1.1791200000000002,6.160508960000002,7.455228960000002,2.134785061818309
code_n32_k20_cw3_036_q00,code_n32_k20_cw3_036,q00,test,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,4.333333333333333,5.0,12.0,3.0,0.0,3.0,3.0,0,0,26,41416,exact,4,0.0256,0.004096000000000001,0.00065536,0.0,0.0,0.01703936,0.01703936,0.016895818382414062
code_n32_k20_cw3_036_q01,code_n32_k20_cw3_036,q01,test,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,4.333333333333333,5.0,12.0,3.0,0.0,3.0,3.0,0,0,26,41416,exact,4,0.0484,0.010648,0.00234256,0.0,0.0,0.06090656,0.06090656,0.0591237878931354
code_n32_k20_cw3_036_q02,code_n32_k20_cw3_036,q02,test,0.28,32,20,12,0.625,0.09499999999999997,3,0.25,8.0,4.333333333333333,5.0,12.0,3.0,0.0,3.0,3.0,0,0,26,41416,exact,4,0.07840000000000001,0.021952000000000006,0.006146560000000002,0.0,0.0,0.15981056000000005,0.15981056000000005,0.14825668143685936
code_n32_k20_cw3_036_q03,code_n32_k20_cw3_036,q03,test,0.34,32,20,12,0.625,0.03499999999999992,3,0.25,8.0,4.333333333333333,5.0,12.0,3.0,0.0,3.0,3.0,0,0,26,41416,exact,4,0.11560000000000002,0.039304000000000006,0.013363360000000005,0.0,0.0,0.3474473600000001,0.3474473600000001,0.29821195810289586
code_n32_k20_cw3_037_q00,code_n32_k20_cw3_037,q00,train,0.16,32,20,12,0.625,0.21499999999999997,3,0.25,8.0,6.833333333333333,4.0,13.0,3.0,0.0,3.0,3.0,2,60,902,41416,exact,2,0.0256,0.004096000000000001,0.00065536,0.0512,0.24576000000000003,0.59113472,0.88809472,0.6355682359563876
code_n32_k20_cw3_037_q01,code_n32_k20_cw3_037,q01,train,0.22,32,20,12,0.625,0.15500000000000003,3,0.25,8.0,6.833333333333333,4.0,13.0,3.0,0.0,3.0,3.0,2,60,902,41416,exact,2,0.0484,0.010648,0.00234256,0.0968,0.63888,2.11298912,2.84866912,1.347727405420628
