graph_id,state_id,split,n,e0,et,kappa0,kappat,tau_stratum,prefix_len,prefix_seed,tau0,tau,log_tau0,log_tau,L_t,deleted_edge_count,deleted_edge_fraction,edge_density,mean_degree,degree_variance,min_degree,bridge_count,avg_shortest_path_length,diameter,algebraic_connectivity,laplacian_spectral_radius,adjacency_spectral_gap,kirchhoff_index,betweenness_mean,betweenness_max,betweenness_std
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,24,48,48,2,2,low,0,2502842951,11011646890,11011646890,23.12221935778457,23.12221935778457,0.0,0,0.0,0.17391304347826086,4.0,3.0833333333333335,2,0,2.6956521739130435,5,0.2191503370006039,8.558743802250836,0.2956171473598399,301.4281992611177,0.07707509881422925,0.3743083003952569,0.10255297181383695
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,24,48,45,2,2,low,3,3002844451,11011646890,1607205080,23.12221935778457,21.19776253223651,1.9244568255480594,3,0.0625,0.16304347826086957,3.75,2.7708333333333335,2,0,2.86231884057971,6,0.1941975390030013,8.446206816140915,0.5343208534988522,338.5804172147091,0.08465085638998682,0.36508563899868246,0.10166518892146362
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p5,train,24,48,43,2,1,low,5,3502845951,11011646890,597180232,23.12221935778457,20.207729521942806,2.9144898358417635,5,0.10416666666666667,0.15579710144927536,3.5833333333333335,2.743055555555556,1,1,2.786231884057971,6,0.21033313026085979,8.336815115744285,0.7302526040151784,336.8384332269726,0.08119235836627141,0.3774703557312253,0.10477017918070271
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,train,24,48,48,2,2,low,0,1781462992,14142324252,14142324252,23.372437858164297,23.372437858164297,0.0,0,0.0,0.17391304347826086,4.0,2.3333333333333335,2,0,2.9057971014492754,6,0.19026396973667617,8.251907519161769,0.41803771321718575,312.99073970072595,0.08662714097496706,0.30566534914361004,0.09322742821510961
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,train,24,48,45,2,2,low,3,2281464492,14142324252,1895622128,23.372437858164297,21.36281292133838,2.009624936825915,3,0.0625,0.16304347826086957,3.75,2.1875,2,0,2.967391304347826,6,0.18240956236132003,8.067247724582463,0.5310373785553404,346.5108855212758,0.08942687747035573,0.3223696593261811,0.09894209309832544
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,train,24,48,43,2,1,low,5,2781465992,14142324252,659864257,23.372437858164297,20.3075447006194,3.0648931575448977,5,0.10416666666666667,0.15579710144927536,3.5833333333333335,1.826388888888889,1,1,3.036231884057971,7,0.17321683756038425,7.6273820781141985,0.7382197980639305,361.25357821586294,0.09255599472990776,0.3079051383399209,0.0962851057021134
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p0,train,24,48,48,2,2,low,0,1060083033,15772458592,15772458592,23.4815311288769,23.4815311288769,0.0,0,0.0,0.17391304347826086,4.0,2.5833333333333335,2,0,2.88768115942029,6,0.17856471530058624,8.902152598146444,0.40553105752576535,314.9587697824538,0.08580368906455864,0.4983907396950875,0.1259168878814824
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p3,train,24,48,45,2,1,low,3,1560084533,15772458592,888344680,23.4815311288769,20.60487037879765,2.8766607500792496,3,0.0625,0.16304347826086957,3.75,3.1875,1,2,2.9528985507246377,6,0.11602579269113031,8.842585600255003,0.33550090879764394,420.43046513994943,0.08876811594202898,0.5879446640316205,0.1527399820944016
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p5,train,24,48,43,2,1,low,5,2060086033,15772458592,446118864,23.4815311288769,19.916095985687296,3.565435143189603,5,0.10416666666666667,0.15579710144927536,3.5833333333333335,2.6597222222222223,1,1,2.960144927536232,6,0.15849126860305982,8.722548241298849,0.6167453664584057,377.07064778143683,0.08909749670619234,0.5699604743083003,0.141926639697438
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p0,validation,24,48,48,2,2,low,0,338703074,17529398932,17529398932,23.587145247328216,23.587145247328216,0.0,0,0.0,0.17391304347826086,4.0,2.5,2,0,2.818840579710145,6,0.19889888152997134,8.461359562127637,0.6174079807109498,301.32546095619904,0.08267457180500658,0.33654244306418213,0.09742212233757987
