primary_key,split,group_index,match_key,state_count,tail_count,log_tau_min,log_tau_max,log_tau_spread,low_mean_collapse_fraction,high_mean_collapse_fraction,low_minus_high
path_b05,train,0,"('24', '43', '1', '1', '1', '5', 2.5)",6,2,20.726600594456674,21.981444006452946,1.2548434119962728,0.328125,0.3359375,-0.0078125
path_b05,train,2,"('24', '43', '1', '1', '1', '6', 3.0)",24,8,19.916095985687296,22.020635652135518,2.104539666448222,0.33203125,0.2578125,0.07421875
path_b05,train,3,"('24', '43', '1', '1', '1', '7', 3.0)",7,2,20.3075447006194,22.080820407413185,1.773275706793786,0.2890625,0.21875,0.0703125
path_b05,train,7,"('24', '43', '1', '1', '2', '7', 3.5)",6,2,20.15402282716748,21.03368108036533,0.8796582531978494,0.390625,0.2890625,0.1015625
path_b05,train,10,"('24', '43', '1', '2', '1', '7', 3.0)",5,1,19.79263213468877,21.146934058516155,1.3543019238273857,0.53125,0.359375,0.171875
path_b05,train,16,"('24', '43', '2', '0', '2', '5', 2.5)",10,3,20.87043538039085,22.360075965502524,1.4896405851116725,0.16145833333333334,0.06770833333333333,0.09375000000000001
path_b05,train,17,"('24', '43', '2', '0', '2', '5', 3.0)",8,2,21.359378664205874,22.424121907265743,1.0647432430598691,0.171875,0.078125,0.09375
path_b05,train,19,"('24', '43', '2', '0', '2', '6', 3.0)",18,6,20.76519044128898,22.363975893110993,1.598785451822014,0.1640625,0.09375,0.0703125
path_b05,train,22,"('24', '45', '1', '1', '1', '5', 2.5)",4,1,21.829625461357875,23.20709013470272,1.3774646733448463,0.3125,0.25,0.0625
path_b05,train,25,"('24', '45', '1', '1', '1', '6', 3.0)",10,3,21.66915534113708,22.967369369869658,1.298214028732577,0.19791666666666666,0.2552083333333333,-0.05729166666666666
path_b05,train,30,"('24', '45', '1', '2', '1', '6', 3.0)",4,1,20.60487037879765,21.5924986378685,0.9876282590708492,0.390625,0.3125,0.078125
