seed,graph_family,damage_family,total_energy_E,required_flow_Q,horizon_T,damage_intensity,graph_split,damage_split,has_heldout_allocation,primary_axes,group_split,n_allocations,flagged_run_fraction,no_collapse_fraction,collapse_at_first_step_fraction,far_above_q_fraction,post_policy_below_q_fraction,recovery_unused_fraction_among_recovery_allocations,reconfiguration_unused_fraction_among_reconfiguration_allocations,maintained_step_ratio_range,maintained_flow_ratio_range,minimum_margin_range,observed_score_range,group_degeneracy_flags,exclusion_recommendation
2000,grid,bottleneck_attack,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.2727272727272727,0.2727272727272727,0.0,0.09090909090909091,0.0,0.0,0.0,0.375,0.1875,8.0,0.6424999999999998,,keep
2000,grid,clustered_failure,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.375,0.125,3.0,0.5299999999999998,,keep
2000,grid,demand_shock,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,1.0,1.0,0.0,0.5454545454545454,0.0,1.0,0.0,0.0,0.0,4.0,0.040000000000000036,all_no_collapse|recovery_never_used|high_flag_fraction,review
2000,grid,random_attrition,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,2.0,0.645,,keep
2000,grid,repairable_wear,10,4,8,0.32,calibration,primary_heldout,True,damage|allocation,heldout_damage_allocation,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3125,2.0,0.5725,,keep
2000,grid,scalar_only_control,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.9090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.25,0.09375,4.0,0.38375000000000004,high_flag_fraction,review
2000,layered_dag,bottleneck_attack,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.5,0.3125,8.0,0.8925000000000001,,keep
2000,layered_dag,clustered_failure,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.375,0.09375,2.0,0.4887499999999998,,keep
2000,layered_dag,demand_shock,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,1.0,1.0,0.0,0.8181818181818182,0.0,1.0,0.0,0.0,0.0,4.0,0.040000000000000036,all_no_collapse|recovery_never_used|high_flag_fraction,review
2000,layered_dag,random_attrition,10,4,8,0.32,calibration,calibration,True,allocation,heldout_allocation,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15625,1.0,0.34375,,keep
