graph_family,seed,attack_type,L_metric,repair_cost_method,turn,removed_edges,giant_fraction,efficiency_fraction,L_cumulative_loss,M_budget,target_giant_size,repair_cost_to_target,threshold_crossed,irreversible
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,34,34,1.0,0.9360786620724397,0.06605576536008127,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,35,35,1.0,0.9345659299100731,0.067673103574511,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,36,36,1.0,0.9328851163963322,0.06947321926797816,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,37,37,1.0,0.9307336750987444,0.07178210589562578,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,38,38,1.0,0.9290528615850034,0.07358964018863637,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,39,39,1.0,0.9271199260442019,0.07567235172539602,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,40,40,1.0,0.9256071938818353,0.0773053310047018,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,41,41,1.0,0.924094461719469,0.07894098126758935,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,42,42,1.0,0.9212370787461098,0.0820378613613656,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,43,43,1.0,0.919220102529621,0.08422968309401499,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,44,44,1.0,0.9163122951508494,0.08739803884185413,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,45,45,1.0,0.9148331792587578,0.08901354807850849,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,46,46,1.0,0.9131523657450172,0.09085252759563019,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,47,47,1.0,0.9106647617446811,0.09358043875017134,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,48,48,1.0,0.908227582149757,0.09626029065199172,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,49,49,1.0,0.9067148499873906,0.097927266403817,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,50,50,1.0,0.9042272459870544,0.10067457187592882,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,51,51,1.0,0.9033027985544969,0.10169745668600737,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,52,52,1.0,0.9005630725271,0.10473507514530402,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,53,53,1.0,0.89829397428355,0.10725789868047284,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,54,54,1.0,0.8952180855534044,0.11068791938084985,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,55,55,1.0,0.8931170686612285,0.11303761077272996,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,56,56,1.0,0.8903773426338315,0.11610992562283051,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,57,57,1.0,0.8878561223632204,0.11894557348307529,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,58,58,0.984375,0.86745104630641,0.14219619952410756,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,59,59,0.984375,0.8656021514412949,0.14432988540167918,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,60,60,0.984375,0.8627447684679368,0.14763638080921082,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,61,61,0.984375,0.8603075888730122,0.15046529219995736,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,62,62,0.984375,0.857450205899653,0.1537921705497946,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,63,63,0.984375,0.8544247415749197,0.15732685335966248,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,64,64,0.984375,0.8526598873854916,0.15939453622466263,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,65,65,0.984375,0.8508950331960641,0.16146650326193143,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,66,66,0.984375,0.8488780569795754,0.16383973434179547,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,67,67,0.984375,0.8471972434658347,0.16582173839967335,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,68,68,0.984375,0.8444239011681627,0.16910065790387185,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,69,69,0.984375,0.8424909656273608,0.17139234010408155,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,70,70,0.984375,0.8400537860324371,0.17428935820367764,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,71,71,0.984375,0.8386587108160324,0.17595143618329837,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,72,72,0.984375,0.8368938566266048,0.17805803060042838,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,73,73,0.984375,0.835028153626353,0.18028983778189608,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,74,74,0.984375,0.8323556601395055,0.18349545337360562,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,75,75,0.984375,0.8304563408689787,0.1857799210048081,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,76,76,0.984375,0.8282712833011162,0.18841454142100839,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,77,77,0.984375,0.8259181443818794,0.19125960918305465,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,78,78,0.984375,0.8210437851920324,0.19717883941459546,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,79,79,0.984375,0.8183880998403218,0.20041860521250837,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,80,80,0.984375,0.815362635515589,0.20412231314999232,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,81,81,0.984375,0.8131775779477264,0.20680577022523597,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,82,82,0.984375,0.8111606017312378,0.20928921521023122,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,83,83,0.984375,0.8091268173796119,0.21179961601410421,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,84,84,0.984375,0.8045550046222377,0.2174659436970482,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,85,85,0.984375,0.8012269938650314,0.22161098396443077,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,86,86,0.984375,0.7988738549457944,0.22455222434610045,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,87,87,0.984375,0.7965543322968328,0.22745993815204552,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,88,88,0.984375,0.7951592570804282,0.2292128610182447,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,89,89,0.984375,0.7912261534582753,0.23417144378735072,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,90,90,0.984375,0.7878309101605199,0.23847179316462652,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,91,91,0.984375,0.7838137658626803,0.2435838303921649,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,92,92,0.984375,0.7801832086730008,0.24822650396506893,4,48,0,False,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,93,93,0.984375,0.7768720060509322,0.25247967056087756,4,48,0,True,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,94,94,0.984375,0.7732246407261156,0.2571856636532736,4,48,0,True,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,95,95,0.984375,0.7688713337255282,0.26283163982715424,4,48,0,True,False
er,0,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,96,96,0.984375,0.7637448525086202,0.269521508278625,4,48,0,True,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,0,0,1.0,1.0,-0.0,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,1,1,1.0,0.9985423990396981,0.0014586642939847048,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,2,2,1.0,0.9978564691760266,0.00214583147443484,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,3,3,1.0,0.9962273857498071,0.003779748508188003,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,4,4,1.0,0.9952842321872587,0.004726922127026253,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,5,5,1.0,0.9936551487610388,0.006365065356659288,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,6,6,1.0,0.992026065334819,0.008005896503328171,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,7,7,1.0,0.9907399468404349,0.009303193982569473,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,8,8,1.0,0.9884249335505435,0.01164257901169282,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,9,9,1.0,0.9872245562891186,0.012857751455295762,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,10,10,1.0,0.9849952842321865,0.015118425403045204,4,48,0,False,False
er,1,random_failure,global_efficiency_log_loss,greedy_restore_removed_edges_to_giant_component_target,11,11,1.0,0.9825087884763777,0.017645990264602285,4,48,0,False,False
