row_id,code_id,q_id,split,q,n,k,r,rate,capacity_margin,column_weight,parity_check_density,row_weight_mean,row_weight_variance,row_weight_min,row_weight_max,column_weight_mean,column_weight_variance,column_weight_min,column_weight_max,N_dep_2,N_dep_3,N_dep_4,dependency_subset_tests,dependency_count_status,min_dependency_order,q_power_2,q_power_3,q_power_4,N_dep_2_q2,N_dep_3_q3,N_dep_4_q4,H_dep_4,log1p_H_dep_4
code_n24_k12_cw3_006_q03,code_n24_k12_cw3_006,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,2.3333333333333335,4.0,10.0,3.0,0.0,3.0,3.0,2,44,467,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.2592,2.052864,7.843806719999999,10.15587072,2.411965881315164
code_n24_k12_cw3_007_q00,code_n24_k12_cw3_007,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0648,0.256608,0.4944369599999999,0.81584496,0.5965509020851566
code_n24_k12_cw3_007_q01,code_n24_k12_cw3_007,q01,train,0.24,24,12,12,0.5,0.26,3,0.25,6.0,5.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.1152,0.6082559999999999,1.5626649599999998,2.28612096,1.1897078296496906
code_n24_k12_cw3_007_q02,code_n24_k12_cw3_007,q02,train,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,5.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.09,0.026999999999999996,0.0081,0.18,1.1879999999999997,3.8150999999999997,5.1831,1.8218197638242628
code_n24_k12_cw3_007_q03,code_n24_k12_cw3_007,q03,train,0.36,24,12,12,0.5,0.14,3,0.25,6.0,5.666666666666667,3.0,10.0,3.0,0.0,3.0,3.0,2,44,471,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.2592,2.052864,7.910991359999999,10.223055359999998,2.4179701767493875
code_n24_k12_cw3_008_q00,code_n24_k12_cw3_008,q00,test,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.0324,0.128304,0.25089263999999994,0.41159663999999996,0.344721432538446
code_n24_k12_cw3_008_q01,code_n24_k12_cw3_008,q01,test,0.24,24,12,12,0.5,0.26,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.0576,0.013823999999999998,0.0033177599999999995,0.0576,0.30412799999999995,0.7929446399999999,1.1546726399999998,0.7676388048240694
code_n24_k12_cw3_008_q02,code_n24_k12_cw3_008,q02,test,0.3,24,12,12,0.5,0.19999999999999996,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.09,0.026999999999999996,0.0081,0.09,0.5939999999999999,1.9359,2.6199,1.2864464011467291
code_n24_k12_cw3_008_q03,code_n24_k12_cw3_008,q03,test,0.36,24,12,12,0.5,0.14,3,0.25,6.0,3.1666666666666665,3.0,9.0,3.0,0.0,3.0,3.0,1,22,239,12926,exact,2,0.1296,0.046655999999999996,0.016796159999999997,0.1296,1.026432,4.014282239999999,5.170314239999999,1.8197497669283338
code_n24_k12_cw3_009_q00,code_n24_k12_cw3_009,q00,train,0.18,24,12,12,0.5,0.32000000000000006,3,0.25,6.0,5.833333333333333,3.0,11.0,3.0,0.0,3.0,3.0,5,108,1112,12926,exact,2,0.0324,0.0058319999999999995,0.0010497599999999998,0.16199999999999998,0.629856,1.16733312,1.9591891199999998,1.0849152848599781
