required_flow_Q,damage_intensity,horizon_T,seeds,full_grid,runs,groups_evaluated,collapse_fraction,no_collapse_fraction,far_above_q_fraction,collapse_at_first_step_fraction,post_policy_below_q_fraction,unflagged_fraction,review_group_count,keep_group_count,candidate_score
4,0.3,8,1,False,132,12,0.7045454545454546,0.29545454545454547,0.030303030303030304,0.007575757575757576,0.0,0.696969696969697,2,10,0.4624999999999998
4,0.3,10,1,False,132,12,0.7575757575757576,0.24242424242424243,0.0,0.007575757575757576,0.0,0.75,2,10,0.4606060606060606
4,0.24,10,1,False,132,12,0.6742424242424242,0.32575757575757575,0.0,0.007575757575757576,0.0,0.6666666666666666,3,9,0.45643939393939414
4,0.18,10,1,False,132,12,0.6212121212121212,0.3787878787878788,0.06060606060606061,0.007575757575757576,0.0,0.6136363636363636,3,9,0.44166666666666676
3,0.3,10,1,False,132,12,0.6818181818181818,0.3181818181818182,0.03787878787878788,0.0,0.0,0.6818181818181818,3,9,0.44053030303030316
3,0.24,10,1,False,132,12,0.6060606060606061,0.3939393939393939,0.09090909090909091,0.0,0.0,0.6060606060606061,3,9,0.43787878787878787
3,0.3,8,1,False,132,12,0.5984848484848485,0.4015151515151515,0.09848484848484848,0.0,0.0,0.5984848484848485,3,9,0.4363636363636364
4,0.24,8,1,False,132,12,0.5909090909090909,0.4090909090909091,0.015151515151515152,0.007575757575757576,0.0,0.5833333333333334,5,7,0.4106060606060607
4,0.18,8,1,False,132,12,0.48484848484848486,0.5151515151515151,0.09848484848484848,0.007575757575757576,0.0,0.4772727272727273,5,7,0.4018939393939393
3,0.18,10,1,False,132,12,0.5075757575757576,0.49242424242424243,0.18181818181818182,0.0,0.0,0.5075757575757576,4,8,0.38901515151515154
3,0.24,8,1,False,132,12,0.49242424242424243,0.5075757575757576,0.21212121212121213,0.0,0.0,0.49242424242424243,5,7,0.3443181818181817
5,0.24,8,1,False,132,12,0.6818181818181818,0.3181818181818182,0.0,0.12878787878787878,0.3333333333333333,0.4015151515151515,6,6,0.2325757575757577
5,0.18,10,1,False,132,12,0.7121212121212122,0.2878787878787879,0.0,0.12878787878787878,0.3333333333333333,0.42424242424242425,6,6,0.22196969696969687
5,0.18,8,1,False,132,12,0.6287878787878788,0.3712121212121212,0.0,0.12878787878787878,0.3333333333333333,0.3560606060606061,7,5,0.2178030303030303
5,0.24,10,1,False,132,12,0.7272727272727273,0.2727272727272727,0.0,0.12878787878787878,0.3333333333333333,0.4393939393939394,6,6,0.21666666666666662
5,0.3,10,1,False,132,12,0.8257575757575758,0.17424242424242425,0.0,0.12878787878787878,0.3333333333333333,0.5227272727272727,5,7,0.21553030303030302
5,0.3,8,1,False,132,12,0.7424242424242424,0.25757575757575757,0.0,0.12878787878787878,0.3333333333333333,0.4621212121212121,6,6,0.21136363636363625
3,0.18,8,1,False,132,12,0.32575757575757575,0.6742424242424242,0.23484848484848486,0.0,0.0,0.32575757575757575,7,5,0.07499999999999998
