required_flow_Q,damage_intensity,horizon_T,seeds,full_grid,runs,groups_evaluated,collapse_fraction,no_collapse_fraction,far_above_q_fraction,collapse_at_first_step_fraction,post_policy_below_q_fraction,unflagged_fraction,review_group_count,keep_group_count,candidate_score
4,0.28,9,1,False,132,12,0.696969696969697,0.30303030303030304,0.0,0.007575757575757576,0.0,0.6893939393939394,2,10,0.4818181818181817
4,0.32,8,1,False,132,12,0.7045454545454546,0.29545454545454547,0.0,0.007575757575757576,0.0,0.696969696969697,2,10,0.4791666666666665
4,0.34,8,1,False,132,12,0.7045454545454546,0.29545454545454547,0.0,0.007575757575757576,0.0,0.696969696969697,2,10,0.4791666666666665
4,0.28,10,1,False,132,12,0.7196969696969697,0.2803030303030303,0.0,0.007575757575757576,0.0,0.7121212121212122,2,10,0.4738636363636364
4,0.3,12,1,False,132,12,0.8181818181818182,0.18181818181818182,0.0,0.007575757575757576,0.0,0.8106060606060606,1,11,0.4727272727272728
4,0.3,9,1,False,132,12,0.7348484848484849,0.26515151515151514,0.0,0.007575757575757576,0.0,0.7272727272727273,2,10,0.468560606060606
4,0.34,9,1,False,132,12,0.7424242424242424,0.25757575757575757,0.0,0.007575757575757576,0.0,0.7348484848484849,2,10,0.46590909090909083
4,0.32,9,1,False,132,12,0.75,0.25,0.0,0.007575757575757576,0.0,0.7424242424242424,2,10,0.46325757575757576
4,0.28,8,1,False,132,12,0.6439393939393939,0.3560606060606061,0.007575757575757576,0.007575757575757576,0.0,0.6363636363636364,3,9,0.462878787878788
4,0.3,8,1,False,132,12,0.7045454545454546,0.29545454545454547,0.030303030303030304,0.007575757575757576,0.0,0.696969696969697,2,10,0.4624999999999998
4,0.3,10,1,False,132,12,0.7575757575757576,0.24242424242424243,0.0,0.007575757575757576,0.0,0.75,2,10,0.4606060606060606
4,0.32,12,1,False,132,12,0.8560606060606061,0.14393939393939395,0.0,0.007575757575757576,0.0,0.8484848484848485,1,11,0.4594696969696971
4,0.26,9,1,False,132,12,0.6666666666666666,0.3333333333333333,0.0,0.007575757575757576,0.0,0.6590909090909091,3,9,0.4590909090909092
4,0.34,12,1,False,132,12,0.8636363636363636,0.13636363636363635,0.0,0.007575757575757576,0.0,0.8560606060606061,1,11,0.4568181818181819
4,0.26,12,1,False,132,12,0.7727272727272727,0.22727272727272727,0.0,0.007575757575757576,0.0,0.7651515151515151,2,10,0.4553030303030303
4,0.32,10,1,False,132,12,0.7727272727272727,0.22727272727272727,0.0,0.007575757575757576,0.0,0.7651515151515151,2,10,0.4553030303030303
4,0.34,10,1,False,132,12,0.7803030303030303,0.2196969696969697,0.0,0.007575757575757576,0.0,0.7727272727272727,2,10,0.45265151515151514
4,0.26,10,1,False,132,12,0.6893939393939394,0.3106060606060606,0.0,0.007575757575757576,0.0,0.6818181818181818,3,9,0.45113636363636356
4,0.28,12,1,False,132,12,0.7954545454545454,0.20454545454545456,0.0,0.007575757575757576,0.0,0.7878787878787878,2,10,0.4473484848484849
4,0.26,8,1,False,132,12,0.6136363636363636,0.38636363636363635,0.007575757575757576,0.007575757575757576,0.0,0.6060606060606061,4,8,0.4401515151515152
