model,feature_count,selected_C,validation_graph_grouped_log_loss,test_graph_grouped_log_loss
B0,5,10.0,0.5796402270305259,0.5764934662219635
B1,11,10.0,0.5686586069052533,0.5627084187154574
B1_hazard,14,10.0,0.5601018347616578,0.5544517981006696
B1_SP_scalar,12,10.0,0.5581951941558474,0.5533643558896937
B1_SP_terms,14,10.0,0.5570939308987178,0.5542312099959157
B1_SP_bundle,15,10.0,0.5553864046431058,0.552247297544525
B1_hazard_SP_scalar,15,10.0,0.55679527261214,0.5517535883129523
B2_guardrail,17,10.0,0.5666344444306826,0.5610378650997199
