row_id,graph_id,q_id,split,q,n,m,edge_density,mean_degree,degree_variance,degree_s,degree_t,shortest_st_path_length,bridge_count,st_bridge_count,algebraic_connectivity,laplacian_spectral_radius,effective_resistance_st,betweenness_mean,betweenness_max,betweenness_std,kappa,N_kappa,N_kappa_plus_1,N_kappa_plus_2,cutset_subset_tests,cutset_count_status,q_power_kappa,q_power_kappa_plus_1,q_power_kappa_plus_2,N_kappa_q_kappa,N_kappa_plus_1_q,N_kappa_plus_2_q,H_cut_2,log1p_H_cut_2
g_n16_m24_k2_000_q00,g_n16_m24_k2_000,q00,train,0.2,16,24,0.2,3.0,0.625,2,4,4,0,0,0.23635969593903752,6.4902194894812615,1.8098082770816708,0.12797619047619047,0.31746031746031744,0.10361722061346444,2,3,5,9,12926,exact,0.04000000000000001,0.008000000000000002,0.0016000000000000003,0.12000000000000002,0.04000000000000001,0.014400000000000003,0.17440000000000003,0.16075737887811412
g_n16_m24_k2_000_q01,g_n16_m24_k2_000,q01,train,0.3,16,24,0.2,3.0,0.625,2,4,4,0,0,0.23635969593903752,6.4902194894812615,1.8098082770816708,0.12797619047619047,0.31746031746031744,0.10361722061346444,2,3,5,9,12926,exact,0.09,0.026999999999999996,0.0081,0.27,0.13499999999999998,0.07289999999999999,0.4779,0.3906221612383899
g_n16_m24_k2_000_q02,g_n16_m24_k2_000,q02,train,0.4,16,24,0.2,3.0,0.625,2,4,4,0,0,0.23635969593903752,6.4902194894812615,1.8098082770816708,0.12797619047619047,0.31746031746031744,0.10361722061346444,2,3,5,9,12926,exact,0.16000000000000003,0.06400000000000002,0.025600000000000005,0.4800000000000001,0.32000000000000006,0.23040000000000005,1.0304000000000002,0.7082328179779863
g_n16_m24_k2_000_q03,g_n16_m24_k2_000,q03,train,0.5,16,24,0.2,3.0,0.625,2,4,4,0,0,0.23635969593903752,6.4902194894812615,1.8098082770816708,0.12797619047619047,0.31746031746031744,0.10361722061346444,2,3,5,9,12926,exact,0.25,0.125,0.0625,0.75,0.625,0.5625,1.9375,1.0775588794702773
g_n16_m24_k2_001_q00,g_n16_m24_k2_001,q00,train,0.2,16,24,0.2,3.0,1.625,3,6,2,0,0,0.2944646326572701,7.4422566560976895,1.0447025695177747,0.10595238095238096,0.4680952380952381,0.13412279273999597,2,1,2,10,12926,exact,0.04000000000000001,0.008000000000000002,0.0016000000000000003,0.04000000000000001,0.016000000000000004,0.016000000000000004,0.07200000000000001,0.06952606264861025
g_n16_m24_k2_001_q01,g_n16_m24_k2_001,q01,train,0.3,16,24,0.2,3.0,1.625,3,6,2,0,0,0.2944646326572701,7.4422566560976895,1.0447025695177747,0.10595238095238096,0.4680952380952381,0.13412279273999597,2,1,2,10,12926,exact,0.09,0.026999999999999996,0.0081,0.09,0.05399999999999999,0.08099999999999999,0.22499999999999998,0.2029408439966903
g_n16_m24_k2_001_q02,g_n16_m24_k2_001,q02,train,0.4,16,24,0.2,3.0,1.625,3,6,2,0,0,0.2944646326572701,7.4422566560976895,1.0447025695177747,0.10595238095238096,0.4680952380952381,0.13412279273999597,2,1,2,10,12926,exact,0.16000000000000003,0.06400000000000002,0.025600000000000005,0.16000000000000003,0.12800000000000003,0.25600000000000006,0.544,0.4343764516025845
g_n16_m24_k2_001_q03,g_n16_m24_k2_001,q03,train,0.5,16,24,0.2,3.0,1.625,3,6,2,0,0,0.2944646326572701,7.4422566560976895,1.0447025695177747,0.10595238095238096,0.4680952380952381,0.13412279273999597,2,1,2,10,12926,exact,0.25,0.125,0.0625,0.25,0.25,0.625,1.125,0.7537718023763802
g_n16_m24_k2_002_q00,g_n16_m24_k2_002,q00,train,0.2,16,24,0.2,3.0,1.125,2,4,3,0,0,0.27541806208296044,6.943889883075936,1.5255094223992647,0.1142857142857143,0.3831746031746033,0.1271965980393504,2,3,2,7,12926,exact,0.04000000000000001,0.008000000000000002,0.0016000000000000003,0.12000000000000002,0.016000000000000004,0.011200000000000002,0.14720000000000005,0.1373241908632189
g_n16_m24_k2_002_q01,g_n16_m24_k2_002,q01,train,0.3,16,24,0.2,3.0,1.125,2,4,3,0,0,0.27541806208296044,6.943889883075936,1.5255094223992647,0.1142857142857143,0.3831746031746033,0.1271965980393504,2,3,2,7,12926,exact,0.09,0.026999999999999996,0.0081,0.27,0.05399999999999999,0.0567,0.38070000000000004,0.32259061693996965
g_n16_m24_k2_002_q02,g_n16_m24_k2_002,q02,train,0.4,16,24,0.2,3.0,1.125,2,4,3,0,0,0.27541806208296044,6.943889883075936,1.5255094223992647,0.1142857142857143,0.3831746031746033,0.1271965980393504,2,3,2,7,12926,exact,0.16000000000000003,0.06400000000000002,0.025600000000000005,0.4800000000000001,0.12800000000000003,0.17920000000000003,0.7872000000000001,0.5806501493327992
g_n16_m24_k2_002_q03,g_n16_m24_k2_002,q03,train,0.5,16,24,0.2,3.0,1.125,2,4,3,0,0,0.27541806208296044,6.943889883075936,1.5255094223992647,0.1142857142857143,0.3831746031746033,0.1271965980393504,2,3,2,7,12926,exact,0.25,0.125,0.0625,0.75,0.25,0.4375,1.4375,0.8909729238898652
g_n16_m24_k2_003_q00,g_n16_m24_k2_003,q00,test,0.2,16,24,0.2,3.0,0.875,2,2,3,0,0,0.32126128910923124,6.647555848945749,1.863738242210462,0.11130952380952382,0.2803174603174603,0.10391445278863912,2,4,4,11,12926,exact,0.04000000000000001,0.008000000000000002,0.0016000000000000003,0.16000000000000003,0.03200000000000001,0.017600000000000005,0.20960000000000004,0.19028972644313152
g_n16_m24_k2_003_q01,g_n16_m24_k2_003,q01,test,0.3,16,24,0.2,3.0,0.875,2,2,3,0,0,0.32126128910923124,6.647555848945749,1.863738242210462,0.11130952380952382,0.2803174603174603,0.10391445278863912,2,4,4,11,12926,exact,0.09,0.026999999999999996,0.0081,0.36,0.10799999999999998,0.0891,0.5570999999999999,0.4428251168652419
g_n16_m24_k2_003_q02,g_n16_m24_k2_003,q02,test,0.4,16,24,0.2,3.0,0.875,2,2,3,0,0,0.32126128910923124,6.647555848945749,1.863738242210462,0.11130952380952382,0.2803174603174603,0.10391445278863912,2,4,4,11,12926,exact,0.16000000000000003,0.06400000000000002,0.025600000000000005,0.6400000000000001,0.25600000000000006,0.2816000000000001,1.1776000000000002,0.7782233529150646
g_n16_m24_k2_003_q03,g_n16_m24_k2_003,q03,test,0.5,16,24,0.2,3.0,0.875,2,2,3,0,0,0.32126128910923124,6.647555848945749,1.863738242210462,0.11130952380952382,0.2803174603174603,0.10391445278863912,2,4,4,11,12926,exact,0.25,0.125,0.0625,1.0,0.5,0.6875,2.1875,1.1592369104845446
g_n16_m24_k2_004_q00,g_n16_m24_k2_004,q00,train,0.2,16,24,0.2,3.0,1.125,2,3,4,0,0,0.3048705120313172,7.006090455854233,1.7396691330448153,0.10357142857142859,0.433015873015873,0.12625602270919664,2,2,5,11,12926,exact,0.04000000000000001,0.008000000000000002,0.0016000000000000003,0.08000000000000002,0.04000000000000001,0.017600000000000005,0.13760000000000003,0.1289207800668394
g_n16_m24_k2_004_q01,g_n16_m24_k2_004,q01,train,0.3,16,24,0.2,3.0,1.125,2,3,4,0,0,0.3048705120313172,7.006090455854233,1.7396691330448153,0.10357142857142859,0.433015873015873,0.12625602270919664,2,2,5,11,12926,exact,0.09,0.026999999999999996,0.0081,0.18,0.13499999999999998,0.0891,0.40409999999999996,0.3393965281384595
g_n16_m24_k2_004_q02,g_n16_m24_k2_004,q02,train,0.4,16,24,0.2,3.0,1.125,2,3,4,0,0,0.3048705120313172,7.006090455854233,1.7396691330448153,0.10357142857142859,0.433015873015873,0.12625602270919664,2,2,5,11,12926,exact,0.16000000000000003,0.06400000000000002,0.025600000000000005,0.32000000000000006,0.32000000000000006,0.2816000000000001,0.9216000000000002,0.6531581723435822
g_n16_m24_k2_004_q03,g_n16_m24_k2_004,q03,train,0.5,16,24,0.2,3.0,1.125,2,3,4,0,0,0.3048705120313172,7.006090455854233,1.7396691330448153,0.10357142857142859,0.433015873015873,0.12625602270919664,2,2,5,11,12926,exact,0.25,0.125,0.0625,0.5,0.625,0.6875,1.8125,1.0340737675305385
g_n16_m24_k2_005_q00,g_n16_m24_k2_005,q00,test,0.2,16,24,0.2,3.0,0.875,4,2,3,0,0,0.27769280048724837,6.503401993196363,1.5659059474412138,0.11011904761904764,0.3103174603174603,0.10691278207268551,2,2,2,15,12926,exact,0.04000000000000001,0.008000000000000002,0.0016000000000000003,0.08000000000000002,0.016000000000000004,0.024000000000000004,0.12000000000000002,0.1133286853070032
g_n16_m24_k2_005_q01,g_n16_m24_k2_005,q01,test,0.3,16,24,0.2,3.0,0.875,4,2,3,0,0,0.27769280048724837,6.503401993196363,1.5659059474412138,0.11011904761904764,0.3103174603174603,0.10691278207268551,2,2,2,15,12926,exact,0.09,0.026999999999999996,0.0081,0.18,0.05399999999999999,0.1215,0.3555,0.30417038995658313
g_n16_m24_k2_005_q02,g_n16_m24_k2_005,q02,test,0.4,16,24,0.2,3.0,0.875,4,2,3,0,0,0.27769280048724837,6.503401993196363,1.5659059474412138,0.11011904761904764,0.3103174603174603,0.10691278207268551,2,2,2,15,12926,exact,0.16000000000000003,0.06400000000000002,0.025600000000000005,0.32000000000000006,0.12800000000000003,0.38400000000000006,0.8320000000000001,0.6054082662519386
g_n16_m24_k2_005_q03,g_n16_m24_k2_005,q03,test,0.5,16,24,0.2,3.0,0.875,4,2,3,0,0,0.27769280048724837,6.503401993196363,1.5659059474412138,0.11011904761904764,0.3103174603174603,0.10691278207268551,2,2,2,15,12926,exact,0.25,0.125,0.0625,0.5,0.25,0.9375,1.6875,0.9886113934537812
g_n16_m24_k2_006_q00,g_n16_m24_k2_006,q00,train,0.2,16,24,0.2,3.0,0.625,2,3,4,0,0,0.2993714533884685,6.052367785012404,1.9769303201506625,0.11785714285714285,0.3285714285714286,0.1037248756867454,2,3,8,15,12926,exact,0.04000000000000001,0.008000000000000002,0.0016000000000000003,0.12000000000000002,0.06400000000000002,0.024000000000000004,0.20800000000000005,0.18896609951262325
g_n16_m24_k2_006_q01,g_n16_m24_k2_006,q01,train,0.3,16,24,0.2,3.0,0.625,2,3,4,0,0,0.2993714533884685,6.052367785012404,1.9769303201506625,0.11785714285714285,0.3285714285714286,0.1037248756867454,2,3,8,15,12926,exact,0.09,0.026999999999999996,0.0081,0.27,0.21599999999999997,0.1215,0.6074999999999999,0.47468017712963734
g_n16_m24_k2_006_q02,g_n16_m24_k2_006,q02,train,0.4,16,24,0.2,3.0,0.625,2,3,4,0,0,0.2993714533884685,6.052367785012404,1.9769303201506625,0.11785714285714285,0.3285714285714286,0.1037248756867454,2,3,8,15,12926,exact,0.16000000000000003,0.06400000000000002,0.025600000000000005,0.4800000000000001,0.5120000000000001,0.38400000000000006,1.3760000000000003,0.8654184015003986
g_n16_m24_k2_006_q03,g_n16_m24_k2_006,q03,train,0.5,16,24,0.2,3.0,0.625,2,3,4,0,0,0.2993714533884685,6.052367785012404,1.9769303201506625,0.11785714285714285,0.3285714285714286,0.1037248756867454,2,3,8,15,12926,exact,0.25,0.125,0.0625,0.75,1.0,0.9375,2.6875,1.3049487216659381
g_n16_m24_k2_007_q00,g_n16_m24_k2_007,q00,validation,0.2,16,24,0.2,3.0,1.375,2,2,5,0,0,0.26559990577424175,7.323187265393023,2.1909802459932903,0.1130952380952381,0.38253968253968257,0.1248260316233112,2,3,6,15,12926,exact,0.04000000000000001,0.008000000000000002,0.0016000000000000003,0.12000000000000002,0.048000000000000015,0.024000000000000004,0.19200000000000003,0.17563256864315804
g_n16_m24_k2_007_q01,g_n16_m24_k2_007,q01,validation,0.3,16,24,0.2,3.0,1.375,2,2,5,0,0,0.26559990577424175,7.323187265393023,2.1909802459932903,0.1130952380952381,0.38253968253968257,0.1248260316233112,2,3,6,15,12926,exact,0.09,0.026999999999999996,0.0081,0.27,0.16199999999999998,0.1215,0.5535,0.44051044985096505
g_n16_m24_k2_007_q02,g_n16_m24_k2_007,q02,validation,0.4,16,24,0.2,3.0,1.375,2,2,5,0,0,0.26559990577424175,7.323187265393023,2.1909802459932903,0.1130952380952381,0.38253968253968257,0.1248260316233112,2,3,6,15,12926,exact,0.16000000000000003,0.06400000000000002,0.025600000000000005,0.4800000000000001,0.3840000000000001,0.38400000000000006,1.2480000000000002,0.8100409320314448
