split,n,q,rows,stop_prevalence,rank_prevalence,log1p_H_stop_5_mean,log1p_H_stop_5_norm_mean,log1p_H_dep_4_mean
test,24,0.18,8,0.08203125,0.0556640625,0.08697137804528822,0.00017012606674482634,0.4213123843795642
test,24,0.24,8,0.1796875,0.1005859375,0.20850693266556314,0.0003095137300507941,0.8678916453344888
test,24,0.3,8,0.3623046875,0.2099609375,0.41905257134733664,0.0004965612885973172,1.3728217461860852
test,24,0.36,8,0.5361328125,0.3115234375,0.722308038808,0.0007367888609529317,1.870140970044126
test,32,0.18,8,0.0546875,0.033203125,0.04711750332596544,4.2758038856040855e-05,0.3226424873363435
test,32,0.24,8,0.1494140625,0.072265625,0.1211365775394268,7.746360131046903e-05,0.6794704621054359
test,32,0.3,8,0.267578125,0.1240234375,0.2607041092539234,0.00012359427318503697,1.0779549098982517
test,32,0.36,8,0.53125,0.2841796875,0.48030193293424,0.00018212735167741494,1.4670695441325923
train,24,0.18,24,0.0859375,0.058919270833333336,0.09541225985639684,0.0001808254125185752,0.4124362275203632
train,24,0.24,24,0.1953125,0.1201171875,0.2296904927228781,0.00032947101785130297,0.8153604271482257
train,24,0.3,24,0.3587239583333333,0.20540364583333334,0.4596325500256433,0.0005295610709794422,1.2560726956514514
train,24,0.36,24,0.5598958333333334,0.34765625,0.785113787938657,0.0007874734699301371,1.6875863764974628
train,32,0.18,24,0.055013020833333336,0.038736979166666664,0.05000190237114588,5.876376049095334e-05,0.40225088486095145
train,32,0.24,24,0.13313802083333334,0.07291666666666667,0.11845599724723717,0.00010568581812104079,0.7982290840171001
train,32,0.3,24,0.3092447916666667,0.15690104166666666,0.2425265737436932,0.00016728220761072176,1.2191928013265743
train,32,0.36,24,0.51953125,0.2936197916666667,0.43675387596081433,0.0002443691755688922,1.6218895335145846
validation,24,0.18,8,0.0966796875,0.064453125,0.09457478200719871,0.00018601768140545278,0.4713771738924178
validation,24,0.24,8,0.201171875,0.1162109375,0.22447981714903043,0.000338608873279149,0.9799926064805343
validation,24,0.3,8,0.3671875,0.220703125,0.4466392169545629,0.0005434483085029851,1.5558685318436882
validation,24,0.36,8,0.5517578125,0.3447265625,0.7629366744214183,0.0008065259775800624,2.1208578960313043
validation,32,0.18,8,0.048828125,0.02734375,0.05175014319372871,4.3010380120157786e-05,0.3021845686992049
validation,32,0.24,8,0.1337890625,0.0634765625,0.13452088919765137,7.814890525427182e-05,0.6128486978882531
validation,32,0.3,8,0.3232421875,0.14453125,0.28898637510624603,0.00012510679168218096,0.9511887683322939
validation,32,0.36,8,0.5029296875,0.2607421875,0.5276052969288891,0.0001850482470988189,1.2819752062684957
