row_id,code_id,q_id,split,q,K,z,failure_fraction,rank_z,rank_failure_fraction,mean_residual_size,mean_ambiguity_dim
code_n24_k12_cw3_003_q02,code_n24_k12_cw3_003,q02,train,0.3,128,53,0.4140625,35,0.2734375,2.296875,0.3515625
code_n24_k12_cw3_003_q03,code_n24_k12_cw3_003,q03,train,0.36,128,74,0.578125,54,0.421875,4.1015625,0.6015625
code_n24_k12_cw3_004_q00,code_n24_k12_cw3_004,q00,train,0.18,128,25,0.1953125,17,0.1328125,0.609375,0.140625
code_n24_k12_cw3_004_q01,code_n24_k12_cw3_004,q01,train,0.24,128,33,0.2578125,26,0.203125,0.9765625,0.2109375
code_n24_k12_cw3_004_q02,code_n24_k12_cw3_004,q02,train,0.3,128,50,0.390625,38,0.296875,1.9921875,0.3671875
code_n24_k12_cw3_004_q03,code_n24_k12_cw3_004,q03,train,0.36,128,75,0.5859375,53,0.4140625,3.6171875,0.515625
code_n24_k12_cw3_005_q00,code_n24_k12_cw3_005,q00,test,0.18,128,6,0.046875,5,0.0390625,0.1015625,0.0390625
code_n24_k12_cw3_005_q01,code_n24_k12_cw3_005,q01,test,0.24,128,25,0.1953125,10,0.078125,0.9375,0.0859375
code_n24_k12_cw3_005_q02,code_n24_k12_cw3_005,q02,test,0.3,128,51,0.3984375,27,0.2109375,2.4765625,0.2421875
code_n24_k12_cw3_005_q03,code_n24_k12_cw3_005,q03,test,0.36,128,74,0.578125,35,0.2734375,3.9296875,0.34375
code_n24_k12_cw3_006_q00,code_n24_k12_cw3_006,q00,test,0.18,128,15,0.1171875,11,0.0859375,0.4296875,0.0859375
code_n24_k12_cw3_006_q01,code_n24_k12_cw3_006,q01,test,0.24,128,29,0.2265625,20,0.15625,1.0078125,0.1640625
code_n24_k12_cw3_006_q02,code_n24_k12_cw3_006,q02,test,0.3,128,49,0.3828125,29,0.2265625,2.34375,0.296875
code_n24_k12_cw3_006_q03,code_n24_k12_cw3_006,q03,test,0.36,128,76,0.59375,52,0.40625,4.109375,0.5703125
code_n24_k12_cw3_007_q00,code_n24_k12_cw3_007,q00,train,0.18,128,10,0.078125,1,0.0078125,0.40625,0.0078125
