code_id,n,k,r,column_weight,stopping_order,subset_tests,N_stop_total,elapsed_s
code_n24_k12_cw3_000,24,12,12,3,5,55430,99,0.16173045900359284
code_n24_k12_cw3_001,24,12,12,3,5,55430,97,0.1593102499973611
code_n24_k12_cw3_002,24,12,12,3,5,55430,78,0.1712156249996042
code_n32_k16_cw3_000,32,16,16,3,5,242792,26,0.7177328329999
code_n32_k16_cw3_001,32,16,16,3,5,242792,118,0.715860791002342
code_n32_k16_cw3_002,32,16,16,3,5,242792,38,0.7226999580016127
