split,q,graph_count,graph_balanced_prevalence,min_graph_prevalence,max_graph_prevalence
test,0.12,4,0.0234375,0.0,0.0625
test,0.24,4,0.0234375,0.0,0.0625
test,0.36,4,0.125,0.0625,0.1875
train,0.12,12,0.020833333333333332,0.0,0.125
train,0.24,12,0.057291666666666664,0.0,0.1875
train,0.36,12,0.16927083333333334,0.0,0.34375
validation,0.12,4,0.015625,0.0,0.03125
validation,0.24,4,0.0625,0.0,0.1875
validation,0.36,4,0.203125,0.1875,0.25
