row_id,graph_id,q_id,split,sample_index,sample_seed,failed_edge_indices,disconnected
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,15,3748951317,"[2, 6, 8, 10, 12, 17, 19]",1
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,16,3749951320,"[2, 10, 11, 12, 18, 22]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,17,3750951323,"[6, 11, 16]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,18,3751951326,"[7, 9, 12, 13, 21]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,19,3752951329,"[0, 1, 2, 8, 12, 16, 17, 22, 23]",1
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,20,3753951332,"[0, 1, 2, 6, 11, 14, 15, 23]",1
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,21,3754951335,"[4, 9, 11, 14, 17]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,22,3755951338,"[3, 8, 9, 17]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,23,3756951341,"[0, 6, 10, 12, 17, 23]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,24,3757951344,"[1, 2, 5, 7, 10, 11, 16, 17]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,25,3758951347,"[1, 4, 5, 6, 8, 17, 20]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,26,3759951350,"[6, 11, 12, 13, 23]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,27,3760951353,"[2, 4, 5, 16, 22]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,28,3761951356,"[0, 13, 14, 18, 20]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,29,3762951359,"[6, 9, 12, 15]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,30,3763951362,"[1, 9, 12, 13, 17, 18, 22]",0
g_n12_m24_k2_000_q01,g_n12_m24_k2_000,q01,validation,31,3764951365,"[8, 10, 12, 15, 20, 22]",1
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,0,3012571313,"[7, 8, 10, 11, 12, 13, 15, 17, 19, 23]",1
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,1,3013571316,"[1, 4, 6, 8, 10, 11, 17]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,2,3014571319,"[5, 9, 11, 12, 14, 15, 17, 18, 20, 22]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,3,3015571322,"[1, 3, 8, 10, 13, 14, 16, 19, 22]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,4,3016571325,"[0, 3, 4, 6, 7, 13, 15, 16, 17, 18, 20, 21]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,5,3017571328,"[0, 4, 6, 7, 11, 13, 14, 15, 19, 20, 23]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,6,3018571331,"[0, 3, 6, 7, 10, 12, 15, 16, 23]",1
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,7,3019571334,"[1, 3, 6, 8, 9, 10, 11, 16, 17, 19, 23]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,8,3020571337,"[0, 3, 6, 10, 12, 13, 15, 18, 19]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,9,3021571340,"[0, 4, 6, 11, 14, 15, 16, 19, 22]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,10,3022571343,"[1, 3, 4, 6, 8, 11, 12, 17, 19, 23]",1
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,11,3023571346,"[0, 2, 4, 6, 7, 8, 12, 16, 17, 20]",1
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,12,3024571349,"[0, 1, 3, 8, 15, 17, 18, 19, 20]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,13,3025571352,"[0, 2, 8, 10, 13, 15, 19, 21]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,14,3026571355,"[0, 5, 6, 8, 10, 11, 12, 14, 21, 22]",1
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,15,3027571358,"[0, 4, 5, 6, 7, 14, 18, 19, 20, 21, 23]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,16,3028571361,"[2, 3, 5, 10, 12, 16, 18, 19, 20, 21]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,17,3029571364,"[0, 2, 3, 4, 7, 9, 14, 19, 21, 23]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,18,3030571367,"[1, 3, 4, 5, 6, 8, 11, 14, 17, 18, 19, 21, 23]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,19,3031571370,"[4, 17, 23]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,20,3032571373,"[8, 12, 16, 19, 20, 23]",1
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,21,3033571376,"[3, 11, 12, 14, 16, 20, 23]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,22,3034571379,"[4, 6, 7, 8, 9, 16, 18, 20, 22]",0
g_n12_m24_k2_000_q02,g_n12_m24_k2_000,q02,validation,23,3035571382,"[0, 11, 14, 15, 16, 19, 21]",0
