key_name,split,group_index,match_key,state_count,tail_count,log_tau_min,log_tau_max,log_tau_spread,low_mean_collapse_fraction,high_mean_collapse_fraction,low_minus_high
strict,train,0,"('24', '43', '1', '1', '1', '6')",11,3,19.754740607365477,21.92435110514967,2.1696104977841912,0.3125,0.22395833333333334,0.08854166666666666
strict,train,4,"('24', '43', '2', '0', '2', '5')",5,1,20.322165198668493,22.32516493902504,2.0029997403565467,0.171875,0.078125,0.09375
strict,train,5,"('24', '43', '2', '0', '2', '6')",14,4,20.953097933189987,22.33183617294489,1.3787382397549024,0.140625,0.11328125,0.02734375
strict,train,13,"('24', '45', '2', '0', '2', '5')",10,3,23.06884883647023,23.767680324081475,0.698831487611244,0.09895833333333333,0.078125,0.02083333333333333
strict,train,14,"('24', '45', '2', '0', '2', '6')",12,4,21.825478920298515,23.77395684367687,1.9484779233783556,0.1171875,0.05078125,0.06640625
strict,train,19,"('24', '48', '2', '0', '2', '5')",7,2,23.641568442263743,24.952312779125926,1.3107443368621823,0.140625,0.0546875,0.0859375
strict,train,20,"('24', '48', '2', '0', '2', '6')",8,2,23.49317928783685,24.676496688140645,1.183317400303796,0.1171875,0.078125,0.0390625
strict,train,23,"('24', '48', '3', '0', '3', '5')",17,5,24.86999400319243,25.748916413858222,0.8789224106657905,0.028125,0.03125,-0.0031249999999999993
strict,train,27,"('24', '64', '2', '0', '2', '5')",14,4,31.045461945836674,32.202957175185745,1.1574952293490703,0.07421875,0.07421875,0.0
strict,train,29,"('24', '64', '2', '0', '3', '5')",9,3,31.528371903448434,32.436733221075734,0.9083613176272998,0.041666666666666664,0.026041666666666668,0.015624999999999997
strict,train,38,"('24', '68', '2', '0', '2', '5')",11,3,32.869901934335466,33.808735676730436,0.9388337423949693,0.041666666666666664,0.03125,0.010416666666666664
strict,train,40,"('24', '68', '2', '0', '3', '5')",5,1,33.02531463002186,33.88771697798733,0.862402347965471,0.015625,0.015625,0.0
strict,train,48,"('24', '72', '2', '0', '3', '5')",6,2,34.5301858201118,35.36732712608967,0.8371413059778732,0.0390625,0.03125,0.0078125
strict,train,51,"('24', '72', '3', '0', '3', '4')",7,2,35.127848421392585,35.785696427589826,0.6578480061972414,0.0,0.0,0.0
strict,train,52,"('24', '72', '3', '0', '3', '5')",5,1,34.92247482370672,35.47031069521852,0.5478358715118006,0.046875,0.015625,0.03125
strict,train,56,"('32', '57', '1', '1', '1', '7')",5,1,27.86391816299923,29.44097321517072,1.5770550521714917,0.421875,0.234375,0.1875
strict,train,70,"('32', '57', '2', '0', '2', '7')",9,3,28.924432025578426,29.63657315745407,0.7121411318756437,0.15104166666666666,0.15625,-0.005208333333333343
strict,train,78,"('32', '60', '2', '0', '2', '6')",12,4,30.27102089724665,32.40018442485557,2.1291635276089167,0.09375,0.09765625,-0.00390625
strict,train,79,"('32', '60', '2', '0', '2', '7')",9,3,30.15758541641602,31.343593366573558,1.1860079501575385,0.18229166666666666,0.13020833333333334,0.052083333333333315
strict,train,80,"('32', '60', '2', '0', '2', '8')",5,1,30.02061036936855,30.73256729811444,0.711956928745888,0.171875,0.109375,0.0625
strict,train,82,"('32', '64', '2', '0', '2', '6')",6,2,32.188301223285045,33.552173562129674,1.3638723388446294,0.171875,0.1171875,0.0546875
strict,train,83,"('32', '64', '2', '0', '2', '7')",8,2,31.792418368757545,33.5284868470406,1.7360684782830518,0.1953125,0.140625,0.0546875
strict,train,84,"('32', '64', '2', '0', '2', '8')",4,1,31.975174203967743,33.37078460408657,1.39561040011883,0.1875,0.078125,0.109375
strict,train,86,"('32', '64', '3', '0', '3', '6')",13,4,33.801534007492904,34.69837576148775,0.896841753994849,0.046875,0.0390625,0.0078125
strict,train,92,"('32', '86', '2', '0', '2', '5')",7,2,43.248018724924194,44.107043562631844,0.8590248377076506,0.03125,0.046875,-0.015625
strict,train,93,"('32', '86', '2', '0', '2', '6')",10,3,42.33362524801607,43.91626633978174,1.582641091765673,0.08854166666666667,0.0625,0.02604166666666667
strict,train,96,"('32', '86', '3', '0', '3', '5')",10,3,43.721998190267506,44.75625836876225,1.0342601784947476,0.015625,0.010416666666666666,0.005208333333333334
strict,train,99,"('32', '91', '2', '0', '2', '5')",9,3,44.618519643863884,45.957809604454084,1.3392899605902002,0.06770833333333333,0.052083333333333336,0.015624999999999993
strict,train,100,"('32', '91', '2', '0', '2', '6')",6,2,44.50852912108372,45.88961569819323,1.3810865771095138,0.1171875,0.0546875,0.0625
strict,train,103,"('32', '91', '3', '0', '3', '5')",10,3,45.50827582670798,46.77231707514463,1.264041248436648,0.020833333333333332,0.020833333333333332,0.0
strict,train,105,"('32', '96', '2', '0', '2', '5')",8,2,46.518002171958976,47.4113257555609,0.8933235836019264,0.0390625,0.0546875,-0.015625
strict,train,112,"('32', '96', '3', '0', '3', '5')",14,4,47.27597990830816,48.643232290060254,1.3672523817520954,0.0390625,0.01171875,0.02734375
strict,train,115,"('40', '108', '1', '1', '1', '7')",4,1,53.71855632562625,55.19614414278825,1.4775878171619965,0.3125,0.25,0.0625
