graph_id,state_id,split,future_index,future_seed,max_h,first_disconnect_step
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,61,1326205586,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,62,1327205589,8,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,63,1328205592,8,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,0,3396032822,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,1,3397032825,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,2,3398032828,7,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,3,3399032831,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,4,3400032834,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,5,3401032837,7,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,6,3402032840,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,7,3403032843,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,8,3404032846,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,9,3405032849,7,6
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,10,3406032852,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,11,3407032855,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,12,3408032858,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,13,3409032861,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,14,3410032864,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,15,3411032867,7,3
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,16,3412032870,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,17,3413032873,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,18,3414032876,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,19,3415032879,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,20,3416032882,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,21,3417032885,7,4
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,22,3418032888,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,23,3419032891,7,6
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,24,3420032894,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,25,3421032897,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,26,3422032900,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,27,3423032903,7,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,28,3424032906,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,29,3425032909,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,30,3426032912,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,31,3427032915,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,32,3428032918,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,33,3429032921,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,34,3430032924,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,35,3431032927,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,36,3432032930,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,37,3433032933,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,38,3434032936,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,39,3435032939,7,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,40,3436032942,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,41,3437032945,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,42,3438032948,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,43,3439032951,7,6
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,44,3440032954,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,45,3441032957,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,46,3442032960,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,47,3443032963,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,48,3444032966,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,49,3445032969,7,4
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,50,3446032972,7,3
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,51,3447032975,7,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,52,3448032978,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,53,3449032981,7,6
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,54,3450032984,7,2
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,55,3451032987,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,56,3452032990,7,7
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,57,3453032993,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,58,3454032996,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,59,3455032999,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,60,3456033002,7,6
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,61,3457033005,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,62,3458033008,7,
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,63,3459033011,7,3
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,0,1849101686,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,1,1850101689,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,2,1851101692,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,3,1852101695,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,4,1853101698,8,5
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,5,1854101701,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,6,1855101704,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,7,1856101707,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,8,1857101710,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,9,1858101713,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,10,1859101716,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,11,1860101719,8,4
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,12,1861101722,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,13,1862101725,8,6
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,14,1863101728,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,15,1864101731,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,16,1865101734,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,17,1866101737,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,18,1867101740,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,19,1868101743,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,20,1869101746,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,21,1870101749,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,22,1871101752,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,23,1872101755,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,24,1873101758,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,25,1874101761,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,26,1875101764,8,4
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,27,1876101767,8,4
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,28,1877101770,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,29,1878101773,8,5
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,30,1879101776,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,31,1880101779,8,3
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,32,1881101782,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,33,1882101785,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,34,1883101788,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,35,1884101791,8,5
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,36,1885101794,8,7
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,37,1886101797,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,38,1887101800,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,39,1888101803,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,40,1889101806,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,41,1890101809,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,42,1891101812,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,43,1892101815,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,44,1893101818,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,45,1894101821,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,46,1895101824,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,47,1896101827,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,48,1897101830,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,49,1898101833,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,50,1899101836,8,6
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,51,1900101839,8,7
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,52,1901101842,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,53,1902101845,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,54,1903101848,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,55,1904101851,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,56,1905101854,8,8
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,57,1906101857,8,8
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,58,1907101860,8,8
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,59,1908101863,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,60,1909101866,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,61,1910101869,8,4
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,62,1911101872,8,5
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,63,1912101875,8,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,0,3979929105,7,3
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,1,3980929108,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,2,3981929111,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,3,3982929114,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,4,3983929117,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,5,3984929120,7,3
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,6,3985929123,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,7,3986929126,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,8,3987929129,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,9,3988929132,7,7
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,10,3989929135,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,11,3990929138,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,12,3991929141,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,13,3992929144,7,2
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,14,3993929147,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,15,3994929150,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,16,3995929153,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,17,3996929156,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,18,3997929159,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,19,3998929162,7,7
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,20,3999929165,7,7
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,21,4000929168,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,22,4001929171,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,23,4002929174,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,24,4003929177,7,4
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,25,4004929180,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,26,4005929183,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,27,4006929186,7,5
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,28,4007929189,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,29,4008929192,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,30,4009929195,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,31,4010929198,7,3
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,32,4011929201,7,6
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,33,4012929204,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,34,4013929207,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,35,4014929210,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,36,4015929213,7,7
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,37,4016929216,7,5
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,38,4017929219,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,39,4018929222,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,40,4019929225,7,3
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,41,4020929228,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,42,4021929231,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,43,4022929234,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,44,4023929237,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,45,4024929240,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,46,4025929243,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,47,4026929246,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,48,4027929249,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,49,4028929252,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,50,4029929255,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,51,4030929258,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,52,4031929261,7,6
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,53,4032929264,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,54,4033929267,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,55,4034929270,7,5
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,56,4035929273,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,57,4036929276,7,4
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,58,4037929279,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,59,4038929282,7,5
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,60,4039929285,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,61,4040929288,7,4
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,62,4041929291,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,63,4042929294,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,0,2537169187,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,1,2538169190,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,2,2539169193,7,7
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,3,2540169196,7,7
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,4,2541169199,7,4
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,5,2542169202,7,1
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,6,2543169205,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,7,2544169208,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,8,2545169211,7,5
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,9,2546169214,7,3
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,10,2547169217,7,6
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,11,2548169220,7,4
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,12,2549169223,7,6
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,13,2550169226,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,14,2551169229,7,1
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,15,2552169232,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,16,2553169235,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,17,2554169238,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,18,2555169241,7,7
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,19,2556169244,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,20,2557169247,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,21,2558169250,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,22,2559169253,7,6
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,23,2560169256,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,24,2561169259,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,25,2562169262,7,4
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,26,2563169265,7,2
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,27,2564169268,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,28,2565169271,7,6
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,29,2566169274,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,30,2567169277,7,2
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,31,2568169280,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,32,2569169283,7,3
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,33,2570169286,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,34,2571169289,7,1
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,35,2572169292,7,5
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,36,2573169295,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,37,2574169298,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,38,2575169301,7,
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,39,2576169304,7,6
