model,feature_count,selected_C,validation_graph_grouped_log_loss,test_graph_grouped_log_loss
B0,7,10.0,0.3929074337965069,0.3940797206133687
B1,12,10.0,0.3793249763452764,0.3761771702314387
B1_logtau,13,10.0,0.3791325677359951,0.3759532428766473
B1_L,13,10.0,0.3793673758524649,0.3761784215026037
B1_SP_bundle,14,10.0,0.37917600068336904,0.37595605918619335
B2_guardrail,19,10.0,0.37902074468868885,0.3753116426412072
