graph_id,state_id,split,n,e0,et,kappa0,kappat,tau_stratum,prefix_len,prefix_seed,tau0,tau,log_tau0,log_tau,L_t,deleted_edge_count,deleted_edge_fraction,edge_density,mean_degree,degree_variance,min_degree,bridge_count,avg_shortest_path_length,diameter,algebraic_connectivity,laplacian_spectral_radius,adjacency_spectral_gap,kirchhoff_index,betweenness_mean,betweenness_max,betweenness_std
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p0,train,24,48,48,2,2,low,0,3379919975,13018811370,13018811370,23.289661176932682,23.289661176932682,0.0,0,0.0,0.17391304347826086,4.0,2.6666666666666665,2,0,2.8731884057971016,7,0.202950804507559,8.43619364452517,0.20069924800452288,308.1376229595828,0.08514492753623187,0.2773950686994165,0.08916456508279326
g_n24_e48_k2_low_00,g_n24_e48_k2_low_00_p3,train,24,48,45,2,2,low,3,3879921475,13018811370,2057493900,23.289661176932682,21.444754525748042,1.8449066511846404,3,0.0625,0.16304347826086957,3.75,2.6875,2,0,3.010869565217391,7,0.17682209388636858,8.422402520157473,0.149828751886246,341.1921708807986,0.09140316205533595,0.33948804818370026,0.10121165282843712
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p0,test,24,48,48,2,2,low,0,2658540016,15337796704,15337796704,23.453585991800402,23.453585991800402,0.0,0,0.0,0.17391304347826086,4.0,2.5833333333333335,2,0,2.7028985507246377,6,0.2278064068493729,8.859530452251366,0.6948511370891026,294.7385492283284,0.07740447957839262,0.3599567099567099,0.101202883542101
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p3,test,24,48,45,2,1,low,3,3158541516,15337796704,2340128851,23.453585991800402,21.57347182932994,1.8801141624704627,3,0.0625,0.16304347826086957,3.75,2.4375,1,1,2.753623188405797,6,0.22565365019609734,8.647454617778024,0.6319929668217457,319.9833024728597,0.07971014492753623,0.3461603613777527,0.09911614991321771
g_n24_e48_k2_low_01,g_n24_e48_k2_low_01_p5,test,24,48,43,2,1,low,5,3658543016,15337796704,216997368,23.453585991800402,19.19539578239892,4.258190209401484,5,0.10416666666666667,0.15579710144927536,3.5833333333333335,2.8263888888888893,1,4,2.829710144927536,6,0.1977520230290195,8.190821289379072,0.5112666853771248,384.1188221969593,0.08316864295125163,0.3812911725955204,0.10527208642480494
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p0,train,24,48,48,2,2,low,0,1937160057,15957252864,15957252864,23.49317928783685,23.49317928783685,0.0,0,0.0,0.17391304347826086,4.0,3.0,2,0,2.6594202898550723,6,0.22812861622331845,8.69606016571537,0.5904763540584099,288.33463028439144,0.07542819499341237,0.3059750526153687,0.09702998707216967
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p3,train,24,48,45,2,1,low,3,2437161557,15957252864,1865694544,23.49317928783685,21.3468992303664,2.146280057470449,3,0.0625,0.16304347826086957,3.75,2.7708333333333335,1,2,2.847826086956522,7,0.19891647114582475,8.380087126109201,0.5447373152738937,340.0766779773569,0.08399209486166008,0.31706192358366264,0.09913772621541084
g_n24_e48_k2_low_02,g_n24_e48_k2_low_02_p5,train,24,48,43,2,1,low,5,2937163057,15957252864,695394269,23.49317928783685,20.359989536204104,3.133189751632745,5,0.10416666666666667,0.15579710144927536,3.5833333333333335,2.7430555555555554,1,1,2.8043478260869565,6,0.21000190214331765,8.35288230118491,0.4738180699077126,331.32726305945584,0.08201581027667983,0.33451910408432145,0.0998383668389511
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p0,validation,24,48,48,2,2,low,0,1215780098,15961351104,15961351104,23.493436081024086,23.493436081024086,0.0,0,0.0,0.17391304347826086,4.0,2.8333333333333335,2,0,2.7355072463768115,6,0.21495127710930836,10.166204254199016,0.390522424707477,295.99319204475296,0.07888669301712779,0.33329568981742896,0.1017143237437933
g_n24_e48_k2_low_03,g_n24_e48_k2_low_03_p3,validation,24,48,45,2,1,low,3,1715781598,15961351104,2135989569,23.493436081024086,21.48219587460547,2.0112402064186163,3,0.0625,0.16304347826086957,3.75,2.8541666666666665,1,1,2.800724637681159,6,0.21061165862442704,10.141629132704606,0.6022387999489274,324.29875271314944,0.08185111989459813,0.3414361001317522,0.10507792232948387
